year,year_rank,group_name,artist,song_name,id,,,
1956,5,Gogi Grant,Gogi Grant,The Wayward Wind,5,,,
1956,6,Les Baxter,Les Baxter,The Poor People Of Paris,6,,,SELECT *
1956,7,Doris Day,Doris Day,Whatever Will Be Will Be (Que Sera Sera),7,,,  FROM tutorial.billboard_top_100_year_end
1956,8,Elvis Presley,Elvis Presley,Hound Dog,8,,, WHERE year_rank BETWEEN 5 AND 10
1956,9,Dean Martin,Dean Martin,Memories Are Made Of This,9,,,
1956,10,Kay Starr,Kay Starr,Rock And Roll Waltz,10,,,
1957,5,Jimmy Dorsey,Jimmy Dorsey,So Rare,108,,,
1957,6,Pat Boone,Pat Boone,Don't Forbid Me,109,,,
1957,7,Guy Mitchell,Guy Mitchell,Singing The Blues,110,,,
1957,8,Sonny James,Sonny James,Young Love,111,,,
1957,9,Elvis Presley,Elvis Presley,Too Much,112,,,
1957,10,Perry Como,Perry Como,Round And Round,113,,,
1958,5,Perez Prado,Perez Prado,Patricia,208,,,
1958,6,Billy Vaughn,Billy Vaughn,Sail Along Silvery Moon / Raunchy,209,,,
1958,7,Perry Como,Perry Como,Catch A Falling Star / Magic Moments,210,,,
1958,8,Champs,Champs,Tequila,211,,,
1958,9,Tommy Edwards,Tommy Edwards,It's All In The Game,212,,,
1958,10,Dean Martin,Dean Martin,Return To Me,213,,,
1959,5,Paul Anka,Paul Anka,Lonely Boy,309,,,
1959,6,Bobby Darin,Bobby Darin,Dream Lover,310,,,
1959,7,Browns,Browns,The Three Bells,311,,,
1959,8,Fleetwoods,Fleetwoods,Come Softly To Me,312,,,
1959,9,Wilbert Harrison,Wilbert Harrison,Kansas City,313,,,
1959,10,Fleetwoods,Fleetwoods,Mr. Blue,314,,,
1960,5,Mark Dinning,Mark Dinning,Teen Angel,411,,,
1960,6,Brenda Lee,Brenda Lee,I'm Sorry,412,,,
1960,7,Elvis Presley,Elvis Presley,It's Now Or Never,413,,,
1960,8,Jimmy Jones,Jimmy Jones,Handy Man,414,,,
1960,9,Elvis Presley,Elvis Presley,Stuck On You,415,,,
1960,10,Chubby Checker,Chubby Checker,The Twist,416,,,
1961,5,Del Shannon,Del Shannon,Runaway,513,,,
