year,year_rank,group_name,artist,song_name,id,,,,,,
2013,1,Macklemore and Ryan Lewis feat. Wanz,Macklemore,Thrift Shop,6334,,,,,,
2013,1,Macklemore and Ryan Lewis feat. Wanz,Ryan Lewis,Thrift Shop,6335,,,,,,SELECT *
2013,1,Macklemore and Ryan Lewis feat. Wanz,Wanz,Thrift Shop,6336,,,,,,  FROM tutorial.billboard_top_100_year_end
2013,4,Baauer,Baauer,Harlem Shake,6341,,,,,, WHERE year = 2013
2013,5,Macklemore and Ryan Lewis feat. Ray Dalton,Macklemore,Can't Hold Us,6342,,,,,,   AND year_rank NOT BETWEEN 2 AND 3
2013,5,Macklemore and Ryan Lewis feat. Ray Dalton,Ryan Lewis,Can't Hold Us,6343,,,,,,
2013,5,Macklemore and Ryan Lewis feat. Ray Dalton,Ray Dalton,Can't Hold Us,6344,,,,,,
2013,6,Justin Timberlake,Justin Timberlake,Mirrors,6345,,,,,,
2013,7,P!nk feat. Nate Ruess,P!nk,Just Give Me A Reason,6346,,,,,,
2013,7,P!nk feat. Nate Ruess,Nate Ruess,Just Give Me A Reason,6347,,,,,,
2013,8,Bruno Mars,Bruno Mars,When I Was Your Man,6348,,,,,,
2013,9,Florida Georgia Line feat. Nelly,Florida Georgia Line,Cruise,6349,,,,,,
2013,9,Florida Georgia Line feat. Nelly,Nelly,Cruise,6350,,,,,,
2013,10,Katy Perry,Katy Perry,Roar,6351,,,,,,
2013,11,Bruno Mars,Bruno Mars,Locked Out Of Heaven,6352,,,,,,
2013,12,Lumineers,Lumineers,Ho Hey,6353,,,,,,
2013,13,Rihanna feat. Mikky Ekko,Rihanna,Stay,6354,,,,,,
2013,13,Rihanna feat. Mikky Ekko,Mikky Ekko,Stay,6355,,,,,,
2013,14,Daft Punk feat. Pharrell Williams,Daft Punk,Get Lucky,6356,,,,,,
2013,14,Daft Punk feat. Pharrell Williams,Pharrell Williams,Get Lucky,6357,,,,,,
2013,15,Lorde,Lorde,Royals,6358,,,,,,
2013,16,Taylor Swift,Taylor Swift,I Knew You Were Trouble,6359,,,,,,
2013,17,Miley Cyrus,Miley Cyrus,We Can't Stop,6360,,,,,,
2013,18,Miley Cyrus,Miley Cyrus,Wrecking Ball,6361,,,,,,
2013,19,Avicii,Avicii,Wake Me Up!,6362,,,,,,
2013,20,Justin Timberlake feat. Jay Z,Justin Timberlake,Suit and Tie,6363,,,,,,
2013,20,Justin Timberlake feat. Jay Z,Jay Z,Suit and Tie,6364,,,,,,
2013,21,Anna Kendrick,Anna Kendrick,Cups (Pitch Perfect's When I'm Gone),6365,,,,,,
2013,22,Jay Z feat. Justin Timberlake,Jay Z,Holy Grail,6366,,,,,,
2013,22,Jay Z feat. Justin Timberlake,Justin Timberlake,Holy Grail,6367,,,,,,
